,State,LGA region,Postcode
0,New South Wales,Albury,2640
1,New South Wales,Albury,2641
2,New South Wales,Albury,2642
3,New South Wales,Albury,2644
4,New South Wales,Albury,3690
5,New South Wales,Albury,3691
6,New South Wales,Armidale Dumaresq,2350
7,New South Wales,Armidale Dumaresq,2351
8,New South Wales,Armidale Dumaresq,2354
9,New South Wales,Armidale Dumaresq,2358
10,New South Wales,Armidale Dumaresq,2365
11,New South Wales,Armidale Dumaresq,2440
12,New South Wales,Armidale Dumaresq,2453
13,New South Wales,Armidale Dumaresq,2454
14,New South Wales,Ashfield,2040
15,New South Wales,Ashfield,2045
16,New South Wales,Ashfield,2046
17,New South Wales,Ashfield,2049
18,New South Wales,Ashfield,2130
19,New South Wales,Ashfield,2131
20,New South Wales,Ashfield,2132
21,New South Wales,Ashfield,2133
22,New South Wales,Ashfield,2193
23,New South Wales,Ashfield,2203
24,New South Wales,Auburn,2127
25,New South Wales,Auburn,2128
26,New South Wales,Auburn,2135
27,New South Wales,Auburn,2138
28,New South Wales,Auburn,2140
29,New South Wales,Auburn,2141
30,New South Wales,Auburn,2142
31,New South Wales,Auburn,2143
32,New South Wales,Auburn,2144
33,New South Wales,Auburn,2162
34,New South Wales,Auburn,2190
35,New South Wales,Ballina,2471
36,New South Wales,Ballina,2472
37,New South Wales,Ballina,2477
38,New South Wales,Ballina,2478
39,New South Wales,Ballina,2479
40,New South Wales,Ballina,2480
41,New South Wales,Ballina,2481
42,New South Wales,Balranald,2648
43,New South Wales,Balranald,2711
44,New South Wales,Balranald,2715
45,New South Wales,Balranald,2736
46,New South Wales,Balranald,2737
47,New South Wales,Balranald,2879
48,New South Wales,Balranald,3501
49,New South Wales,Balranald,3549
50,New South Wales,Balranald,3597
51,New South Wales,Bankstown,2136
52,New South Wales,Bankstown,2141
53,New South Wales,Bankstown,2143
54,New South Wales,Bankstown,2144
55,New South Wales,Bankstown,2161
56,New South Wales,Bankstown,2162
57,New South Wales,Bankstown,2163
58,New South Wales,Bankstown,2165
59,New South Wales,Bankstown,2166
60,New South Wales,Bankstown,2170
61,New South Wales,Bankstown,2172
62,New South Wales,Bankstown,2190
63,New South Wales,Bankstown,2195
64,New South Wales,Bankstown,2196
65,New South Wales,Bankstown,2197
66,New South Wales,Bankstown,2198
67,New South Wales,Bankstown,2199
68,New South Wales,Bankstown,2200
69,New South Wales,Bankstown,2210
70,New South Wales,Bankstown,2211
71,New South Wales,Bankstown,2212
72,New South Wales,Bankstown,2213
73,New South Wales,Bankstown,2214
74,New South Wales,Bankstown,2234
75,New South Wales,Bathurst Regional,2583
76,New South Wales,Bathurst Regional,2787
77,New South Wales,Bathurst Regional,2795
78,New South Wales,Bathurst Regional,2799
79,New South Wales,Bathurst Regional,2800
80,New South Wales,Bathurst Regional,2808
