sr,Locality_Name,"Post_
Code",Municipality_Name,"Ward_
Name",LGA,District_Name,"District_
Code","Region_
Name","Region_
Code"
1,Abbeyard,3737,Alpine Shire Council,Unsubdivided,52201,Ovens Valley,65,Northern Victoria,4
2,Abbotsford,3067,Yarra City Council,Langridge,51301,Richmond,70,Northern Metropolitan,3
3,Aberfeldie,3040,Moonee Valley City Council,Buckley,55601,Niddrie,62,Western Metropolitan,7
4,Aberfeldy,3825,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2
5,Acheron,3714,Murrindindi Shire Council,Eildon,53003,Eildon,24,Northern Victoria,4
6,Acheron,3714,Murrindindi Shire Council,Koriella,53006,Eildon,24,Northern Victoria,4
7,Adams Estate,3984,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2
8,Addington,3352,Ballarat City Council,North,50302,Ripon,72,Western Victoria,8
9,Adelaide Lead,3465,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,72,Western Victoria,8
10,Agnes,3962,South Gippsland Shire Council,Coastal-Promontory,53801,Gippsland South,36,Eastern Victoria,2
11,Aintree,3336,Melton City Council,Cambridge,55401,Kororoit,42,Western Metropolitan,7
12,Aireys Inlet,3231,Surf Coast Shire Council,Anglesea,50101,Polwarth,67,Western Victoria,8
13,Airly,3851,Wellington Shire Council,Central,53901,Gippsland East,35,Eastern Victoria,2
14,Airport West,3042,Moonee Valley City Council,Rose Hill,55603,Niddrie,62,Western Metropolitan,7
15,Albanvale,3021,Brimbank City Council,Grasslands,54201,Kororoit,42,Western Metropolitan,7
16,Albert Park,3206,Port Phillip City Council,Gateway,51102,Albert Park,1,Southern Metropolitan,6
17,Albert Park,3206,Port Phillip City Council,Lake,51103,Albert Park,1,Southern Metropolitan,6
18,Alberton,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2
19,Alberton West,3971,Wellington Shire Council,Coastal,53902,Gippsland South,36,Eastern Victoria,2
20,Albion,3020,Brimbank City Council,Harvester,54202,St Albans,78,Western Metropolitan,7
21,Alexandra,3714,Murrindindi Shire Council,Eildon,53003,Eildon,24,Northern Victoria,4
22,Alexandra,3714,Murrindindi Shire Council,Koriella,53006,Eildon,24,Northern Victoria,4
23,Alexandra,3714,Murrindindi Shire Council,Red Gate,53007,Eildon,24,Northern Victoria,4
24,Alfredton,3350,Ballarat City Council,Central,50301,Wendouree,84,Western Victoria,8
25,Alfredton,3350,Ballarat City Council,North,50302,Wendouree,84,Western Victoria,8
26,Allambee,3823,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2
27,Allambee Reserve,3871,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2
28,Allambee Reserve,3871,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,36,Eastern Victoria,2
29,Allambee South,3871,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,36,Eastern Victoria,2
30,Allans Flat,3691,Indigo Shire Council,Unsubdivided,52601,Benambra,6,Northern Victoria,4
31,Allansford,3277,Moyne Shire Council,Unsubdivided,51801,South-West Coast,77,Western Victoria,8
32,Allansford,3277,Warrnambool City Council,Unsubdivided,52101,South-West Coast,77,Western Victoria,8
33,Allendale,3364,Hepburn Shire Council,Creswick,56404,Ripon,72,Western Victoria,8
34,Allestree,3305,Glenelg Shire Council,Unsubdivided,51701,South-West Coast,77,Western Victoria,8
35,Alma,3465,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,72,Western Victoria,8
36,Almonds,3727,Moira Shire Council,Unsubdivided,52901,Ovens Valley,65,Northern Victoria,4
37,Almurta,3979,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2
38,Alphington,3078,Darebin City Council,South East,50807,Northcote,63,Northern Metropolitan,3
39,Alphington,3078,Yarra City Council,Langridge,51301,Northcote,63,Northern Metropolitan,3
40,Altona,3018,Hobsons Bay City Council,Cherry Lake,50901,Altona,2,Western Metropolitan,7
41,Altona Meadows,3028,Hobsons Bay City Council,Cherry Lake,50901,Altona,2,Western Metropolitan,7
42,Altona Meadows,3028,Hobsons Bay City Council,Wetlands,50903,Altona,2,Western Metropolitan,7
43,Altona North,3025,Hobsons Bay City Council,Cherry Lake,50901,Altona,2,Western Metropolitan,7
44,Altona North,3025,Hobsons Bay City Council,Cherry Lake,50901,Williamstown,86,Western Metropolitan,7
45,Altona North,3025,Hobsons Bay City Council,Strand,50902,Williamstown,86,Western Metropolitan,7
46,Alvie,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8
47,Amherst,3371,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,72,Western Victoria,8
48,Amor,3825,Baw Baw Shire Council,East,53502,Narracan,58,Eastern Victoria,2
49,Amphitheatre,3468,Pyrenees Shire Council,Avoca,51901,Ripon,72,Western Victoria,8
50,Amphitheatre,3468,Pyrenees Shire Council,De Cameron,51903,Ripon,72,Western Victoria,8
51,Amphitheatre,3468,Pyrenees Shire Council,Ercildoune,51904,Ripon,72,Western Victoria,8
52,Anakie,3213,Golden Plains Shire Council,Unsubdivided,50501,Buninyong,16,Western Victoria,8
53,Anakie,3213,Greater Geelong City Council,Windermere,50604,Lara,43,Western Victoria,8
54,Ancona,3715,Mansfield Shire Council,Unsubdivided,58001,Eildon,24,Northern Victoria,4
55,Anderson,3995,Bass Coast Shire Council,Western Port,53403,Bass,3,Eastern Victoria,2
56,Anglers Rest,3898,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,35,Eastern Victoria,2
57,Anglesea,3230,Surf Coast Shire Council,Anglesea,50101,Polwarth,67,Western Victoria,8
58,Annuello,3549,Swan Hill Rural City Council,Unsubdivided,57001,Mildura,49,Northern Victoria,4
59,Antwerp,3414,Hindmarsh Shire Council,East,57301,Lowan,44,Western Victoria,8
60,Antwerp,3414,Hindmarsh Shire Council,North,57302,Lowan,44,Western Victoria,8
61,Apollo Bay,3233,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,67,Western Victoria,8
62,Appin,3579,Gannawarra Shire Council,Avoca,57201,Murray Plains,57,Northern Victoria,4
63,Appin South,3579,Gannawarra Shire Council,Avoca,57201,Murray Plains,57,Northern Victoria,4
64,Appin South,3579,Gannawarra Shire Council,Patchell,57203,Murray Plains,57,Northern Victoria,4
65,Appin South,3579,Loddon Shire Council,Boort,56501,Murray Plains,57,Northern Victoria,4
66,Apsley,3319,West Wimmera Shire Council,Unsubdivided,57501,Lowan,44,Western Victoria,8
67,Arapiles,3409,Horsham Rural City Council,Unsubdivided,56801,Lowan,44,Western Victoria,8
68,Ararat,3377,Ararat Rural City Council,Unsubdivided,51401,Ripon,72,Western Victoria,8
69,Arawata,3951,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,36,Eastern Victoria,2
70,Arcadia,3631,Greater Shepparton City Council,Unsubdivided,52501,Euroa,27,Northern Victoria,4
71,Arcadia South,3631,Strathbogie Shire Council,Honeysuckle Creek,53101,Euroa,27,Northern Victoria,4
72,Arcadia South,3631,Strathbogie Shire Council,Lake Nagambie,53103,Euroa,27,Northern Victoria,4
73,Archdale,3475,Central Goldfields Shire Council,Flynn,56301,Ripon,72,Western Victoria,8
74,Archdale,3475,Northern Grampians Shire Council,Kara Kara,57402,Ripon,72,Western Victoria,8
75,Archdale Junction,3475,Central Goldfields Shire Council,Flynn,56301,Ripon,72,Western Victoria,8
76,Archerton,3723,Benalla Rural City Council,Unsubdivided,57901,Euroa,27,Northern Victoria,4
