,LGA,LGA NAME,2015-16,2016-17,2017-18
0,10050,Albury," 45,504 "," 46,426 "," 47,732 "
1,10130,Armidale Regional," 40,733 "," 41,120 "," 42,220 "
2,10250,Ballina," 39,782 "," 40,362 "," 42,246 "
3,10300,Balranald," 42,282 "," 45,080 "," 46,868 "
4,10470,Bathurst Regional," 47,746 "," 48,373 "," 49,633 "
5,10500,Bayside," 47,809 "," 48,383 "," 49,445 "
6,10550,Bega Valley," 37,270 "," 37,366 "," 38,318 "
7,10600,Bellingen," 35,835 "," 36,601 "," 35,924 "
8,10650,Berrigan," 38,513 "," 38,652 "," 40,157 "
9,10750,Blacktown," 50,647 "," 51,422 "," 52,802 "
10,10800,Bland," 40,728 "," 40,743 "," 40,816 "
11,10850,Blayney," 45,397 "," 45,846 "," 47,530 "
12,10900,Blue Mountains," 47,705 "," 48,325 "," 49,788 "
13,10950,Bogan," 47,806 "," 46,446 "," 45,717 "
14,11150,Bourke," 49,471 "," 51,680 "," 50,405 "
15,11200,Brewarrina," 45,005 "," 46,261 "," 44,520 "
16,11250,Broken Hill," 48,050 "," 49,696 "," 50,628 "
17,11300,Burwood," 41,388 "," 40,811 "," 40,562 "
18,11350,Byron," 33,178 "," 33,747 "," 35,180 "
19,11400,Cabonne," 43,918 "," 44,409 "," 45,679 "
20,11450,Camden," 55,907 "," 56,641 "," 58,416 "
21,11500,Campbelltown," 48,832 "," 49,354 "," 51,038 "
22,11520,Canada Bay," 56,096 "," 56,951 "," 58,243 "
23,11570,Canterbury-Bankstown," 42,542 "," 42,882 "," 43,786 "
24,11600,Carrathool," 40,566 "," 43,433 "," 43,796 "
25,11650,Central Coast," 44,951 "," 45,608 "," 47,148 "
26,11700,Central Darling," 47,438 "," 49,076 "," 48,952 "
27,11720,Cessnock," 45,107 "," 46,632 "," 47,847 "
28,11730,Clarence Valley," 36,860 "," 37,474 "," 39,211 "
29,11750,Cobar," 56,039 "," 58,090 "," 57,158 "
30,11800,Coffs Harbour," 39,529 "," 40,281 "," 41,618 "
31,12000,Coolamon," 42,838 "," 43,918 "," 42,936 "
32,12150,Coonamble," 43,463 "," 47,159 "," 43,036 "
33,12160,Cootamundra-Gundagai Regional," 41,720 "," 42,258 "," 43,198 "
34,12350,Cowra," 38,659 "," 39,187 "," 40,926 "
35,12380,Cumberland," 40,890 "," 41,083 "," 41,783 "
36,12390,Dubbo Regional," 45,563 "," 47,136 "," 48,782 "
37,12700,Dungog," 41,152 "," 41,466 "," 42,515 "
38,12730,Edward River," 40,245 "," 40,718 "," 43,785 "
39,12750,Eurobodalla," 35,593 "," 36,062 "," 37,455 "
40,12850,Fairfield," 42,326 "," 42,673 "," 43,555 "
41,12870,Federation," 40,706 "," 41,225 "," 42,484 "
42,12900,Forbes," 42,941 "," 43,375 "," 45,120 "
43,12930,Georges River," 46,033 "," 45,913 "," 46,473 "
44,12950,Gilgandra," 39,430 "," 42,195 "," 39,443 "
45,13010,Glen Innes Severn," 34,058 "," 35,166 "," 35,574 "
46,13310,Goulburn Mulwaree," 46,054 "," 46,891 "," 48,393 "
47,13340,Greater Hume Shire," 42,112 "," 42,871 "," 43,670 "
48,13450,Griffith," 43,867 "," 45,427 "," 47,102 "
49,13550,Gunnedah," 45,455 "," 47,432 "," 49,173 "
50,13660,Gwydir," 38,152 "," 39,858 "," 39,708 "
51,13800,Hawkesbury," 49,923 "," 51,142 "," 52,890 "
52,13850,Hay," 39,416 "," 42,287 "," 44,833 "
53,13910,Hilltops," 40,913 "," 41,470 "," 43,083 "
54,14000,Hornsby," 52,738 "," 53,442 "," 54,744 "
55,14100,Hunters Hill," 69,912 "," 69,778 "," 70,458 "
56,14170,Inner West," 59,101 "," 60,188 "," 62,468 "
57,14200,Inverell," 40,664 "," 40,912 "," 41,976 "
58,14300,Junee," 44,768 "," 45,940 "," 46,701 "
59,14350,Kempsey," 36,161 "," 36,483 "," 37,679 "
60,14400,Kiama," 45,542 "," 46,340 "," 47,586 "
61,14500,Ku-ring-gai," 58,598 "," 59,116 "," 60,000 "
62,14550,Kyogle," 31,933 "," 32,358 "," 31,959 "
63,14600,Lachlan," 40,433 "," 40,959 "," 40,843 "
64,14650,Lake Macquarie," 47,059 "," 47,661 "," 49,559 "
65,14700,Lane Cove," 67,210 "," 68,030 "," 70,686 "
66,14750,Leeton," 44,962 "," 45,470 "," 46,490 "
67,14850,Lismore," 40,074 "," 40,692 "," 41,716 "
68,14870,Lithgow," 44,339 "," 45,127 "," 46,086 "
69,14900,Liverpool," 48,520 "," 49,398 "," 50,662 "
70,14920,Liverpool Plains," 40,571 "," 41,556 "," 42,433 "
71,14950,Lockhart," 45,187 "," 45,096 "," 44,199 "
72,15050,Maitland," 49,867 "," 50,863 "," 52,421 "
73,15240,Mid-Coast," 35,736 "," 36,360 "," 37,084 "
74,15270,Mid-Western Regional," 41,867 "," 42,931 "," 45,213 "
75,15300,Moree Plains," 48,215 "," 49,774 "," 48,857 "
76,15350,Mosman," 74,068 "," 73,822 "," 75,311 "
77,15520,Murray River," 39,013 "," 40,117 "," 42,998 "
78,15560,Murrumbidgee," 43,211 "," 42,220 "," 43,894 "
79,15650,Muswellbrook," 51,913 "," 51,411 "," 53,367 "
80,15700,Nambucca," 34,830 "," 34,783 "," 35,870 "
81,15750,Narrabri," 44,690 "," 46,425 "," 47,542 "
82,15800,Narrandera," 42,296 "," 42,659 "," 42,210 "
83,15850,Narromine," 42,139 "," 43,682 "," 44,020 "
84,15900,Newcastle," 49,887 "," 50,518 "," 52,649 "
85,15950,North Sydney," 72,915 "," 73,016 "," 76,063 "
86,15990,Northern Beaches," 54,783 "," 55,499 "," 57,319 "
87,16100,Oberon," 44,699 "," 45,865 "," 47,714 "
88,16150,Orange," 48,871 "," 49,581 "," 51,430 "
89,16200,Parkes," 43,145 "," 43,580 "," 44,128 "
90,16260,Parramatta," 49,048 "," 49,615 "," 50,838 "
91,16350,Penrith," 52,203 "," 53,200 "," 54,688 "
92,16380,Port Macquarie-Hastings," 39,210 "," 39,741 "," 40,615 "
93,16400,Port Stephens," 42,711 "," 43,723 "," 45,086 "
94,16490,Queanbeyan-Palerang Regional," 60,055 "," 61,217 "," 63,094 "
